"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
20000,"36 Months",9,"MORTGAGE",2e+05,"Debt Consolidation","CA",10.7,"None",36341.15833,710,0,0,18,"None",50000,50.3,38,0,"None","0"
7200,"36 Months",0.5,"RENT",2e+05,"Debt Consolidation","NC",1.78,"None",32718.43264,680,1,0,7,"None",10134,34.4,7,168,"None","0"
5500,"36 Months",0,"MORTGAGE",44000,"Medical","CO",3.79,"None",36787.48611,755,2,0,10,"None",8274,19,24,89,"None","0"
23000,"36 Months",0.5,"MORTGAGE",72800,"Debt Consolidation","GA",6.38,"None",34644.18819,750,0,0,18,"None",25051,30.1,33,918,"None","0"
2000,"36 Months",2,"RENT",32000,"Debt Consolidation","CA",33.04,"None",37491.07222,705,0,39,11,"None",5391,24.7,37,105,"None","0"
10000,"36 Months",5,"MORTGAGE",99996,"Other","CT",7.64,"None",35717.36319,695,0,54,8,"None",0,0,30,512,"None","0"
10000,"36 Months",1,"MORTGAGE",2e+05,"Other","NY",0.8,"None",30000,805,0,0,11,"None",7729,12.9,20,266,"None","0"
25000,"36 Months",10,"MORTGAGE",2e+05,"Debt Consolidation","LA",2.26,"None",34256.36944,745,0,0,6,"None",24361,84.3,19,66,"None","0"
22000,"60 Months",10,"MORTGAGE",60000,"Debt Consolidation","PA",19.36,"None",34140.35556,750,1,0,11,"None",12436,14.4,31,322,"None","0"
10000,"60 Months",2,"RENT",94000,"Home Improvement","VA",0,"One",37233.11181,725,1,11,3,"None",0,0,14,261,"None","0"
12000,"36 Months",4,"RENT",40000,"Credit Card","CA",12.69,"None",33769.50833,735,0,0,13,"None",15805,57.7,19,762,"None","0"
12000,"36 Months",0.5,"MORTGAGE",85000,"Credit Card","CO",18.56,"None",36690.34861,730,2,0,15,"None",15173,41.6,43,695,"None","0"
25975,"60 Months",2,"RENT",60240,"Debt Consolidation","IL",22.55,"None",33590.53542,710,0,0,12,"None",50000,76.4,32,186,"None","0"
20000,"36 Months",0.5,"RENT",54000,"Debt Consolidation","NY",11.78,"None",38396.51111,680,1,0,8,"None",25216,59.9,11,405,"None","0"
10400,"36 Months",2,"MORTGAGE",57600,"Home Improvement","WA",16.28,"One",37765.32361,690,0,18,14,"None",18531,70.7,26,80,"None","0"
1500,"36 Months",10,"MORTGAGE",97000,"Small Business","CA",19.63,"None",33906.05069,665,1,0,11,"None",35131,85.7,27,248,"None","0"
15000,"36 Months",4,"MORTGAGE",67000,"Debt Consolidation","CA",12.57,"None",36172.11597,725,0,0,11,"None",23725,50.5,45,350,"None","0"
14725,"36 Months",1,"OWN",2e+05,"Major Purchase","VA",2.14,"One",36066.1625,660,2,16,11,"None",50000,27.8,30,601,"None","0"
9600,"36 Months",5,"MORTGAGE",40000,"Debt Consolidation","NY",23.25,"None",36355.45069,740,1,37,15,"None",9159,18.5,40,1000,"None","0"
3000,"36 Months",0.5,"MORTGAGE",25000,"Small Business","SC",3.65,"None",37642.47639,710,0,0,4,"None",3238,10.4,4,1000,"None","0"
22000,"36 Months",0.5,"OWN",135000,"Debt Consolidation","IL",12.78,"None",30000,670,2,55,44,"None",50000,44.2,65,261,"None","0"
25000,"36 Months",0,"MORTGAGE",57120,"Credit Card","CA",15.29,"None",30078.20486,720,0,0,7,"None",25725,80.1,10,0,"None","0"
7000,"36 Months",0.5,"RENT",65000,"Wedding","NY",12.39,"None",37935.40694,675,0,48,10,"None",10445,90.6,25,0,"None","0"
8900,"36 Months",3,"RENT",63000,"Debt Consolidation","CT",29.07,"None",35745.24236,740,0,0,9,"None",21183,44.3,34,395,"None","0"
5400,"36 Months",5,"RENT",56461,"Debt Consolidation","WA",20.87,"None",35904.29931,675,0,67,10,"None",10249,96.7,24,1000,"None","0"
11000,"36 Months",2,"RENT",45000,"Debt Consolidation","MO",8.91,"None",39020.43264,690,2,0,18,"None",8956,43.7,20,272,"None","0"
17000,"60 Months",0.5,"MORTGAGE",140000,"Home Improvement","GA",5.66,"None",34680.21389,790,0,0,7,"None",50000,24.2,26,0,"None","0"
13600,"36 Months",2,"RENT",95000,"Major Purchase","CA",9.11,"None",35704.51597,740,1,0,3,"None",0,0,25,0,"None","0"
7000,"36 Months",10,"MORTGAGE",88800,"Home Improvement","FL",7.77,"None",35772.07083,740,0,0,8,"None",9583,35.8,30,172,"None","0"
13225,"36 Months",10,"RENT",76000,"House","NY",10.21,"One",34823.33819,690,3,10,3,"None",792,7.9,31,0,"None","0"
12000,"36 Months",1,"MORTGAGE",30000,"Debt Consolidation","MO",19.84,"None",37373.28819,700,1,0,9,"None",7336,71.9,24,99,"None","0"
7200,"36 Months",10,"MORTGAGE",40000,"Debt Consolidation","CA",10.92,"None",35049.25,685,1,51,4,"None",2487,60.7,35,359,"None","0"
3000,"36 Months",5,"RENT",45327,"Moving","AZ",2.57,"Two",36650.25694,675,0,16,3,"None",1864,44.4,6,225,"None","0"
18000,"36 Months",10,"RENT",71820,"Debt Consolidation","OR",19.31,"None",36446.51528,720,1,0,13,"None",9918,21.1,19,1000,"None","0"
9000,"36 Months",10,"RENT",83000,"Debt Consolidation","CA",16.02,"None",34380.08472,700,0,45,10,"None",14313,75.7,38,0,"None","0"
5000,"36 Months",10,"MORTGAGE",95000,"Home Improvement","DE",10.4,"None",35554.27292,720,1,0,9,"None",48997,86.7,18,0,"None","0"
